placeholder,categoría,descripción,ejemplo,
{player},jugador,Selecciona un jugador aleatorio,Laura bebe 2 tragos,
{player2},jugador,Segundo jugador aleatorio distinto del primero,Laura imita a Marcos,
{player3},jugador,Tercer jugador aleatorio,"Laura, Marcos y Ana bailan",
{chosen_player},jugador,Jugador elegido manualmente por el usuario,Elige a alguien para que responda,
{all_players},grupo,Lista de todos los jugadores,"{all_players}, levantad la mano si…",
{all_except_player},grupo,Todos menos el jugador elegido,Todos excepto {player} beben,
{most_voted},votación,Jugador más votado por el grupo,El más votado bebe 2 tragos,
{least_voted},votación,,El menos votado reparte 3 tragos,
{word},contenido,Palabra aleatoria para rondas de rimas,Rima con: {word},
{theme},contenido,,Di un animal: {theme},
{random_place},contenido,"Lloc aleatori (en un avió, al taller, oficina de traball…)",Digues una paraula que no diries {random_place},
{random_likely_to},contenido,"Situació de més probable que (es faci a la més lletja,",Qui és més probable que {random_likely_to},"es faci a la més lletja, sigui l'últim en sortir de la discoteca"
{random_red_flag},contenido,"Red flags de persones (Posa ""Se vienen cositas"" a la historia)",A qui del grup pertany aquesta red flag? {random_red_flag},
{number_1_3},número,Número aleatorio entre 1 y 3,Bebe {number_1_3} tragos,
{number_1_5},número,Número aleatorio entre 1 y 5,Reparte {number_1_5} tragos,
{random_player},mecánica,Jugador aleatorio (equivalente a {player} pero más explícito),{random_player} cuenta una anécdota,
{timer_10},mecánica,Temporizador de 10 segundos,Tienes {timer_10} para responder,
{timer_30},mecánica,Temporizador de 30 segundos,"Durante {timer_30}, no puedes hablar",
{spicy_questions},contenido,Pregunta picant aleatoria,"Pregunta: ""{spicy_question}"" a un jugador",
{random_questions},contenido,Pregunta aleatoria general,Pregunta {random_question} a un jugador,
